"Entrez.Gene.IDA"	"Symbol.A"	"Entrez.Gene.IDB"	"Symbol.B"
"14"	"AAMP"	"6293"	"VPS52"
"14"	"AAMP"	"8553"	"BHLHE40"
"14"	"AAMP"	"64782"	"AEN"
"15"	"AANAT"	"4188"	"MDFI"
"15"	"AANAT"	"8553"	"BHLHE40"
"28"	"ABO"	"65983"	"GRAMD3"
"28"	"ABO"	"84283"	"TMEM79"
"39"	"ACAT2"	"39"	"ACAT2"
"39"	"ACAT2"	"84708"	"LNX1"
"60"	"ACTB"	"60"	"ACTB"
"60"	"ACTB"	"71"	"ACTG1"
"60"	"ACTB"	"1072"	"CFL1"
"60"	"ACTB"	"1073"	"CFL2"
"60"	"ACTB"	"1962"	"EHHADH"
"60"	"ACTB"	"10486"	"CAP2"
"60"	"ACTB"	"11034"	"DSTN"
"60"	"ACTB"	"55093"	"WDYHV1"
"71"	"ACTG1"	"71"	"ACTG1"
"71"	"ACTG1"	"1072"	"CFL1"
"71"	"ACTG1"	"1073"	"CFL2"
"71"	"ACTG1"	"1962"	"EHHADH"
"71"	"ACTG1"	"10486"	"CAP2"
"71"	"ACTG1"	"11034"	"DSTN"
"71"	"ACTG1"	"28952"	"CCDC22"
"71"	"ACTG1"	"55093"	"WDYHV1"
"81"	"ACTN4"	"89"	"ACTN3"
"81"	"ACTN4"	"655"	"BMP7"
"81"	"ACTN4"	"51778"	"MYOZ2"
"87"	"ACTN1"	"87"	"ACTN1"
"87"	"ACTN1"	"89"	"ACTN3"
"87"	"ACTN1"	"4938"	"OAS1"
"87"	"ACTN1"	"9852"	"EPM2AIP1"
"87"	"ACTN1"	"51778"	"MYOZ2"
"87"	"ACTN1"	"79778"	"MICALL2"
"87"	"ACTN1"	"200845"	"KCTD6"
"87"	"ACTN1"	"220082"	"SPERT"
"88"	"ACTN2"	"88"	"ACTN2"
"88"	"ACTN2"	"4342"	"MOS"
"88"	"ACTN2"	"6615"	"SNAI1"
"88"	"ACTN2"	"6672"	"SP100"
"88"	"ACTN2"	"27295"	"PDLIM3"
"88"	"ACTN2"	"51778"	"MYOZ2"
"88"	"ACTN2"	"79778"	"MICALL2"
"88"	"ACTN2"	"84312"	"BRMS1L"
"88"	"ACTN2"	"158297"	"FAM154A"
"88"	"ACTN2"	"285093"	"RTP5"
"89"	"ACTN3"	"89"	"ACTN3"
"89"	"ACTN3"	"5966"	"REL"
"89"	"ACTN3"	"7185"	"TRAF1"
"89"	"ACTN3"	"7186"	"TRAF2"
"89"	"ACTN3"	"10529"	"NEBL"
"89"	"ACTN3"	"51225"	"ABI3"
"89"	"ACTN3"	"54778"	"RNF111"
"89"	"ACTN3"	"64857"	"PLEKHG2"
"89"	"ACTN3"	"84970"	"C1orf94"
"89"	"ACTN3"	"200845"	"KCTD6"
"89"	"ACTN3"	"391257"	"SUMO1P1"
"95"	"ACY1"	"4521"	"NUDT1"
"98"	"ACYP2"	"6820"	"SULT2B1"
"98"	"ACYP2"	"58487"	"CREBZF"
"118"	"ADD1"	"10363"	"HMG20A"
"141"	"ADPRH"	"7024"	"TFCP2"
"163"	"AP2B1"	"293"	"SLC25A6"
"163"	"AP2B1"	"3838"	"KPNA2"
"163"	"AP2B1"	"7307"	"U2AF1"
"163"	"AP2B1"	"10053"	"AP1M2"
"163"	"AP2B1"	"10411"	"RAPGEF3"
"163"	"AP2B1"	"25828"	"TXN2"
"163"	"AP2B1"	"27125"	"AFF4"
"163"	"AP2B1"	"55145"	"THAP1"
"163"	"AP2B1"	"91419"	"XRCC6BP1"
"163"	"AP2B1"	"129807"	"NEU4"
"164"	"AP1G1"	"8905"	"AP1S2"
"164"	"AP1G1"	"84993"	"UBL7"
"166"	"AES"	"166"	"AES"
"166"	"AES"	"604"	"BCL6"
"166"	"AES"	"705"	"BYSL"
"166"	"AES"	"1406"	"CRX"
"166"	"AES"	"1656"	"DDX6"
"166"	"AES"	"2670"	"GFAP"
"166"	"AES"	"2801"	"GOLGA2"
"166"	"AES"	"2885"	"GRB2"
"166"	"AES"	"3185"	"HNRNPF"
"166"	"AES"	"3801"	"KIFC3"
"166"	"AES"	"3860"	"KRT13"
"166"	"AES"	"3866"	"KRT15"
"166"	"AES"	"3881"	"KRT31"
"166"	"AES"	"4004"	"LMO1"
"166"	"AES"	"4005"	"LMO2"
"166"	"AES"	"4088"	"SMAD3"
"166"	"AES"	"4154"	"MBNL1"
"166"	"AES"	"4236"	"MFAP1"
"166"	"AES"	"4253"	"CTAGE5"
"166"	"AES"	"4665"	"NAB2"
"166"	"AES"	"5562"	"PRKAA1"
"166"	"AES"	"5563"	"PRKAA2"
"166"	"AES"	"5859"	"QARS"
"166"	"AES"	"5966"	"REL"
"166"	"AES"	"5987"	"TRIM27"
"166"	"AES"	"6386"	"SDCBP"
"166"	"AES"	"6495"	"SIX1"
"166"	"AES"	"6498"	"SKIL"
"166"	"AES"	"6631"	"SNRPC"
"166"	"AES"	"6660"	"SOX5"
"166"	"AES"	"6733"	"SRPK2"
"166"	"AES"	"6925"	"TCF4"
"166"	"AES"	"6926"	"TBX3"
"166"	"AES"	"6945"	"MLX"
"166"	"AES"	"7185"	"TRAF1"
"166"	"AES"	"7186"	"TRAF2"
"166"	"AES"	"7726"	"TRIM26"
"166"	"AES"	"8241"	"RBM10"
"166"	"AES"	"8543"	"LMO4"
"166"	"AES"	"8553"	"BHLHE40"
"166"	"AES"	"8576"	"STK16"
"166"	"AES"	"8676"	"STX11"
"166"	"AES"	"8812"	"CCNK"
"166"	"AES"	"9470"	"EIF4E2"
"166"	"AES"	"9643"	"MORF4L2"
"166"	"AES"	"9743"	"ARHGAP32"
"166"	"AES"	"9841"	"ZBTB24"
"166"	"AES"	"9911"	"TMCC2"
"166"	"AES"	"10152"	"ABI2"
"166"	"AES"	"10241"	"CALCOCO2"
"166"	"AES"	"10783"	"NEK6"
"166"	"AES"	"10817"	"FRS3"
"166"	"AES"	"11030"	"RBPMS"
"166"	"AES"	"11338"	"U2AF2"
"166"	"AES"	"22806"	"IKZF3"
"166"	"AES"	"22893"	"BAHD1"
"166"	"AES"	"23154"	"NCDN"
"166"	"AES"	"23181"	"DIP2A"
"166"	"AES"	"23281"	"MTUS2"
"166"	"AES"	"23641"	"LDOC1"
"166"	"AES"	"25959"	"KANK2"
"166"	"AES"	"26003"	"GORASP2"
"166"	"AES"	"26121"	"PRPF31"
"166"	"AES"	"29079"	"MED4"
"166"	"AES"	"29948"	"OSGIN1"
"166"	"AES"	"54955"	"C1orf109"
"166"	"AES"	"55048"	"VPS37C"
"166"	"AES"	"55072"	"RNF31"
"166"	"AES"	"55110"	"MAGOHB"
"166"	"AES"	"57594"	"HOMEZ"
"166"	"AES"	"57819"	"LSM2"
"166"	"AES"	"64098"	"PARVG"
"166"	"AES"	"64170"	"CARD9"
"166"	"AES"	"64782"	"AEN"
"166"	"AES"	"79005"	"SCNM1"
"166"	"AES"	"79177"	"ZNF576"
"166"	"AES"	"79444"	"BIRC7"
"166"	"AES"	"79616"	"CCNJL"
"166"	"AES"	"79720"	"VPS37B"
"166"	"AES"	"79843"	"FAM124B"
"166"	"AES"	"79869"	"CPSF7"
"166"	"AES"	"80022"	"MYO15B"
"166"	"AES"	"80705"	"TSGA10"
"166"	"AES"	"80742"	"PRR3"
"166"	"AES"	"81628"	"TSC22D4"
"166"	"AES"	"81629"	"TSSK3"
"166"	"AES"	"83746"	"L3MBTL2"
"166"	"AES"	"84304"	"NUDT22"
"166"	"AES"	"84528"	"RHOXF2"
"166"	"AES"	"84619"	"ZGPAT"
"166"	"AES"	"84766"	"CRACR2A"
"166"	"AES"	"84970"	"C1orf94"
"166"	"AES"	"84988"	"PPP1R16A"
"166"	"AES"	"85302"	"FBF1"
"166"	"AES"	"85376"	"RIMBP3"
"166"	"AES"	"85403"	"EAF1"
"166"	"AES"	"90933"	"TRIM41"
"166"	"AES"	"91544"	"UBXN11"
"166"	"AES"	"93986"	"FOXP2"
"166"	"AES"	"117286"	"CIB3"
"166"	"AES"	"123722"	"FSD2"
"166"	"AES"	"125115"	"KRT40"
"166"	"AES"	"127703"	"C1orf216"
"166"	"AES"	"147525"	"LINC00526"
"166"	"AES"	"154313"	"C6orf165"
"166"	"AES"	"167826"	"OLIG3"
"166"	"AES"	"220108"	"FAM124A"
"166"	"AES"	"222546"	"RFX6"
"166"	"AES"	"284001"	"CCDC57"
"166"	"AES"	"386675"	"KRTAP10-7"
"166"	"AES"	"386676"	"KRTAP10-9"
"166"	"AES"	"386681"	"KRTAP10-8"
"166"	"AES"	"386682"	"KRTAP10-3"
"166"	"AES"	"388677"	"NOTCH2NL"
"172"	"AFG3L1P"	"7337"	"UBE3A"
"185"	"AGTR1"	"5149"	"PDE6H"
